Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ADVERSARY;560;ADVERSARY;560;2;0;0;9.0;0.0;0.0
ADVERSARY;580;ADVERSARY;580;1;0;0;7.0;0.0;0.0
ADVERTISED;564;ADVERTISED;564;1;0;0;0.0;0.0;0.0
ADVOKAAT;530;ADVOKAAT;530;1;0;0;0.0;0.0;0.0
ADWAN;514;ADWAN;514;1;0;0;8.0;0.0;0.0
ADWAN;524;ADWAN;524;1;0;0;8.0;0.0;0.0
ADWAN;564;ADWAN;564;1;0;0;13.0;0.0;0.0
ADWAN;574;ADWAN;574;3;0;0;6.666666666666667;0.0;0.0
ADWAN;580;ADWAN;580;3;0;0;10.0;0.0;0.0
ADWAN;600;ADWAN;600;1;0;0;11.0;0.0;0.0
AEDION;580;AEDION;580;3;0;1;4.0;0.0;33.3
AEDION;594;AEDION;594;1;0;0;15.0;0.0;0.0
AEDION;604;AEDION;604;1;0;0;15.0;0.0;0.0
AEGISPOWER;624;AEGIS POWER;624;1;0;1;2.0;0.0;100.0
AEGONTARGARYEN;570;AEGON TARGARYEN;570;1;0;1;2.0;0.0;100.0
AEIH;510;AEIH;510;1;0;0;14.0;0.0;0.0
AEIH;514;AEIH;514;1;0;0;10.0;0.0;0.0
AEIH;544;AEIH;544;2;0;0;6.5;0.0;0.0
AEOLIAN;570;AEOLIAN;570;1;1;1;1.0;100.0;100.0
AERIALAFFAIR;554;AERIAL AFFAIR;554;1;0;1;3.0;0.0;100.0
AERIALIST;550;AERIALIST;550;2;0;0;2.0;0.0;0.0
AERIALIST;554;AERIALIST;554;1;0;0;4.0;0.0;0.0
AERIALIST;560;AERIALIST;560;1;0;1;3.0;0.0;100.0
AERIALIST;570;AERIALIST;570;1;0;0;5.0;0.0;0.0
AEROCHAMPION;560;AERO CHAMPION;560;1;0;0;4.0;0.0;0.0
AERODYNAMICS;564;AERODYNAMICS;564;2;0;0;7.5;0.0;0.0
AERODYNAMICS;584;AERODYNAMICS;584;1;0;0;6.0;0.0;0.0
AERODYNAMICS;594;AERODYNAMICS;594;1;0;0;10.0;0.0;0.0
AERODYNAMICS;600;AERODYNAMICS;600;1;0;0;14.0;0.0;0.0
AEROINVINCIBLE;554;AEROINVINCIBLE;554;1;0;0;4.0;0.0;0.0
AEROINVINCIBLE;580;AEROINVINCIBLE;580;1;0;0;6.0;0.0;0.0
AERONAUTIC;580;AERONAUTIC;580;1;0;1;3.0;0.0;100.0
AERONAUTIC;590;AERONAUTIC;590;1;0;0;6.0;0.0;0.0
AERONAUTIC;610;AERONAUTIC;610;1;0;0;4.0;0.0;0.0
AERONEF;570;AERONEF;570;1;1;1;1.0;100.0;100.0
AERONEF;580;AERONEF;580;1;1;1;1.0;100.0;100.0
AEROPOSTAL;570;AEROPOSTAL;570;1;0;1;2.0;0.0;100.0
AEROVOLANIC;550;AEROVOLANIC;550;1;1;1;1.0;100.0;100.0
AEROVOLANIC;584;AEROVOLANIC;584;1;0;0;6.0;0.0;0.0
