Cheval_clean;Surface;Cheval;Valeur_surface;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
AIRELIBRE;GAZON;AIRE LIBRE;GAZON;1;0;0;6.0;0.0;0.0
AIRESDEGLORIA;GAZON;AIRES DE GLORIA;GAZON;1;0;0;4.0;0.0;0.0
AIRFORCECRUISING;GAZON;AIR FORCE CRUISING;GAZON;2;0;1;4.5;0.0;50.0
AIRINVASION;GAZON;AIR INVASION;GAZON;1;0;0;7.0;0.0;0.0
AIROSAVEGA;GAZON;AIROSA VEGA;GAZON;1;0;0;6.0;0.0;0.0
AISHITERU;GAZON;AISHITERU;GAZON;3;0;1;2.3333333333333335;0.0;33.3
AISLINGOSCAR;GAZON;AISLING OSCAR;GAZON;3;2;2;2.0;66.7;66.7
AITAI;GAZON;AITAI;GAZON;2;0;0;6.0;0.0;0.0
AITUKEY;GAZON;AITU KEY;GAZON;2;0;0;8.5;0.0;0.0
AIVLIS;GAZON;AIVLIS;GAZON;1;0;1;2.0;0.0;100.0
AIXLACHAPELLE;GAZON;AIX LA CHAPELLE;GAZON;1;0;0;0.0;0.0;0.0
AIXLESBAINS;GAZON;AIX LES BAINS;GAZON;2;1;1;3.0;50.0;50.0
AJAAYB;GAZON;AJAAYB;GAZON;1;0;0;7.0;0.0;0.0
AJANDRA;GAZON;AJANDRA;GAZON;1;0;0;9.0;0.0;0.0
AJAXANIA;GAZON;AJAXANIA;GAZON;2;0;1;7.0;0.0;50.0
AKAANDRED;GAZON;AKA AND RED;GAZON;7;1;3;5.571428571428571;14.3;42.9
AKAGERA;GAZON;AKAGERA;GAZON;7;0;0;9.142857142857142;0.0;0.0
AKAK;GAZON;AK AK;GAZON;1;0;0;10.0;0.0;0.0
