Cheval_clean;Jockey_clean;Cheval;Jockey;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
KAPU;IGNACIOISAIASVALDIVIA;KAPU;IGNACIO ISAIAS VALDIVIA;1;0;0;0.0;0.0
KAPU;JORGEIGNACIOBAEZARIVEROS;KAPU;JORGE IGNACIO BAEZA RIVEROS;1;0;0;0.0;0.0
KAPU;MAXIMILIANOJOSESALINAS;KAPU;MAXIMILIANO JOSE SALINAS;1;0;0;0.0;0.0
KAPU;OSCARALEJANDROULLOAPEREZ;KAPU;OSCAR ALEJANDRO ULLOA PEREZ;1;0;1;0.0;100.0
KAPU;TOMASALEXANDERSEITH;KAPU;TOMAS ALEXANDER SEITH;1;0;1;0.0;100.0
KARAANDCOLLEEN;BENJAMINSANCHO;KARA AND COLLEEN;BENJAMIN  SANCHO;1;1;1;100.0;100.0
KARAANDCOLLEEN;JOAQUINALEJANDROHERRERAOLIVAR;KARA AND COLLEEN;JOAQUIN ALEJANDRO HERRERA OLIVAR;1;1;1;100.0;100.0
KARAKORUM;AGUILLOTEAU;KARAKORUM;A.GUILLOTEAU;1;0;0;0.0;0.0
KARAKULA;JONNYPEATE;KARAKULA;JONNY PEATE;1;0;1;0.0;100.0
KARAKULADANCER;DANIELMUSCUTT;KARAKULA DANCER;DANIEL MUSCUTT;2;1;1;50.0;50.0
KARAKULADANCER;HARRYVIGORS;KARAKULA DANCER;HARRY VIGORS;1;0;1;0.0;100.0
KARALILY;ABOUHAYANESOUFIANE;KARALILY;ABOUHAYANE SOUFIANE;1;0;0;0.0;0.0
KARALILY;LAKJALOMAR;KARALILY;LAKJAL OMAR;1;0;0;0.0;0.0
KARALILY;NACIRAYMEN;KARALILY;NACIR AYMEN;2;0;1;0.0;50.0
