Cheval_clean;Terrain_clean;Cheval;Terrain;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
TRUTHBETOLD;HERBE;TRUTH BE TOLD;HERBE;1;0;0;0.0;0.0;0.0
TRUTHEXPLAINED;GAZON;TRUTH EXPLAINED;GAZON;1;0;0;13.0;0.0;0.0
TRUTHEXPLAINED;HERBE;TRUTH EXPLAINED;HERBE;1;0;0;14.0;0.0;0.0
TRYMAN;CINQ_ANS_ET_PLUS;TRYMAN;CINQ_ANS_ET_PLUS;2;1;1;2.5;50.0;50.0
TRYMAN;GAZON;TRYMAN;GAZON;1;0;1;3.0;0.0;100.0
TRYMAN;QUATRE_ANS_ET_PLUS;TRYMAN;QUATRE_ANS_ET_PLUS;1;0;1;2.0;0.0;100.0
TRYMAN;TROIS_ANS_ET_PLUS;TRYMAN;TROIS_ANS_ET_PLUS;1;0;0;7.0;0.0;0.0
TRYS;HERBE;TRYS;HERBE;1;0;0;6.0;0.0;0.0
TRYS;TROIS_ANS;TRYS;TROIS_ANS;1;0;0;0.0;0.0;0.0
TSAR;TROIS_ANS;TSAR;TROIS_ANS;4;0;1;6.75;0.0;25.0
TSARNICOLAS;GAZON;TSAR NICOLAS;GAZON;1;0;0;5.0;0.0;0.0
TSAVERNA;GAZON;TSAVERNA;GAZON;1;0;1;3.0;0.0;100.0
TSAVERNA;HERBE;TSAVERNA;HERBE;7;1;1;4.714285714285714;14.3;14.3
TSEDAKA;GAZON;TSEDAKA;GAZON;1;1;1;1.0;100.0;100.0
TSEDAKA;TROIS_ANS_ET_PLUS;TSEDAKA;TROIS_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
TSHIEBWE;GAZON;TSHIEBWE;GAZON;2;0;0;6.0;0.0;0.0
TSUENWANGLORY;HERBE;TSUEN WAN GLORY;HERBE;1;0;0;9.0;0.0;0.0
TSUNAMIA;HERBE;TSUNAMIA;HERBE;2;0;0;4.5;0.0;0.0
TSWASEEMA;HERBE;TS WASEEMA;HERBE;2;0;2;3.0;0.0;100.0
TUATAPERE;HERBE;TUATAPERE;HERBE;1;0;0;11.0;0.0;0.0
TUBAPH;GAZON;TUBA PH;GAZON;2;0;0;7.0;0.0;0.0
TUBAPH;TROIS_ANS;TUBA PH;TROIS_ANS;1;0;0;9.0;0.0;0.0
TUBERSOME;HERBE;TUBER SOME;HERBE;1;0;0;10.0;0.0;0.0
TUBERSOME;QUATRE_ANS_ET_PLUS;TUBER SOME;QUATRE_ANS_ET_PLUS;1;0;0;7.0;0.0;0.0
TUCALA;SIX_ANS_ET_PLUS;TU CALA;SIX_ANS_ET_PLUS;3;0;2;3.0;0.0;66.7
TUCITUCI;GAZON;TUCI TUCI;GAZON;1;0;0;8.0;0.0;0.0
TUDOBEM;GAZON;TUDO BEM;GAZON;4;0;0;6.5;0.0;0.0
TUDOBEM;HERBE;TUDO BEM;HERBE;3;0;0;4.666666666666667;0.0;0.0
